full_name,title,company,country,linkedin_url,company_website,employee_count_estimate,growth_signal,people_process_signal,affordability_signal,linkedin_activity_signal,source_url,fit_score,segment,reason_to_contact,dnc_status,review_status,score_reasons,score_concerns,headline,industry,profile_location,provider_id
Edrea Lee Yian Huay,Co-Founder and CEO,Vespid,Malaysia,https://www.linkedin.com/in/edrea-lee-yian-huay-b9ab1814a,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACQd8aYBUrKMqQAnWAsA4lGvaa4CJY8niJI,NAME_SEARCH,Hnss",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Venture Building @ Vespid,,"Federal Territory of Kuala Lumpur, Malaysia",ACwAACQd8aYBUrKMqQAnWAsA4lGvaa4CJY8niJI
"Edmumd Tai CFP, RFP",Managing Director,Opulent Capital International Group,Malaysia,https://www.linkedin.com/in/edmumdtai,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAS3h4AB6nv2BXBa_dXuGI6-Yj5qPfGLJRg,NAME_SEARCH,tPZZ",85,Malaysia / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Enterprise & Wealth Systems Architect for Business Leaders and Business Families | Building Structures That Endure Across Generations | Creator of the River–Lake–Reservoir™ Framework,,Greater Kuala Lumpur,ACwAAAS3h4AB6nv2BXBa_dXuGI6-Yj5qPfGLJRg
Ed Mun,Founder,S.U.A Interior Design,Malaysia,https://www.linkedin.com/in/edmun,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAADnj0CIBMsK3ZPTTCM-vGylHcO7olj7AE5s,NAME_SEARCH,sNpA",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Professor of Practice - Creative Industry Management | Founder of S.U.A Interior, Ed Mun Academy & Forum of Innovative Design Association (F-IND) | Interior Architecture | Book Author | #NoFreeDesignMovement",,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAADnj0CIBMsK3ZPTTCM-vGylHcO7olj7AE5s
Dr. Zaharuddin A. Rahman,Founder,ShariahScreener.com,Malaysia,https://www.linkedin.com/in/drzaharuddin,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAADkXgYB6yBto1V7_aKH0KQPKS6DXLAlFb4,NAME_SEARCH,UqtQ",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,CEO/Founder at Elzar Shariah & Technology Solution with expertise in Islamic Finance,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAADkXgYB6yBto1V7_aKH0KQPKS6DXLAlFb4
Zouhair Abdul Khaliq,Founder & Managing Partner,Teamup Ventures,United Arab Emirates,https://www.linkedin.com/in/zouhairkhaliq,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAU7RYBeOs5ZyIXhXSDgZ5AYfULAc7oG1U,NAME_SEARCH,36GT",85,United Arab Emirates / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Advisory and Non Executive Boards, CEO, Founder & Managing Partner Teamup Ventures, Kings Trust International, Former President & CEO Mobilink, Former Group COO Orascom Telecom, Former MD Mobile for Development, GSMA.",,United Arab Emirates,ACwAAAAU7RYBeOs5ZyIXhXSDgZ5AYfULAc7oG1U
Yusuf Hasan,Managing Director,INTEGER TRADERS PRIVATE LIMITED,United Arab Emirates,https://www.linkedin.com/in/yusufhasan,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAALQGkoBPoNx-nx88rBEA9SpS_dBvrq--KI,NAME_SEARCH,nC09",85,United Arab Emirates / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Chairman & Founder, My Inbox Media® (CPaaS/Enterprise Communication) | Founder & CEO, MiMSphere.ai (Phygital - LED & Digital Signage) | Strategic Growth & Digital Innovation | Dubai, UAE | India | Global | yusufhasan.com",,"Dubai, United Arab Emirates",ACwAAALQGkoBPoNx-nx88rBEA9SpS_dBvrq--KI
Yannis Karipsiadis,CIO & Co-Founder,The Binary Holdings,United Arab Emirates,https://www.linkedin.com/in/ykaripsiadis,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAhZHEBqWnH_-eNtvLD7Y8VlGrZkOw3Tr4,NAME_SEARCH,IFIw",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Certified Advisory Board Chair | Helping Founders Scale to $30M–$100M | Fundraising · AI Transformation · Global Networks - Legacy Planning -


Binary Holdings Advisory Board: Web3 Mass Adoption and pre-IPO Opportunities",,"Dubai, United Arab Emirates",ACwAAAAhZHEBqWnH_-eNtvLD7Y8VlGrZkOw3Tr4
Wissam Sader,Founder / Lead 3D Visualizer / Architect,wissam sader studio,United Arab Emirates,https://www.linkedin.com/in/wissam-sader-791a2029,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAYGLl0B1RQ7WVnQkSBVPFaCAwbzDTbhGpI,NAME_SEARCH,lrrt",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Senior CGI, Architect at nabil gholam architects | Director, Lead 3D Visualizer, Architect, Designer at Wissam Sader Studio | Masters of Design Science Digital Media, Bachelor in architectural engineering",,"Abu Dhabi Emirate, United Arab Emirates",ACwAAAYGLl0B1RQ7WVnQkSBVPFaCAwbzDTbhGpI
Wassim Karkabi,Founder & Executive Chairman,GLOBAL BOARD INSTITUTE,United Arab Emirates,https://www.linkedin.com/in/wassimkarkabi,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAABvUBwBkb5gTp6B2QolNba9ic90zoLaZ4c,NAME_SEARCH,WnQD",85,United Arab Emirates / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Non-Executive Board Director, Founder, Investor, CEO, Managing Partner  | Helping Leaders & Businesses Grow | Governance, Leadership & Culture.",,"Dubai, United Arab Emirates",ACwAAABvUBwBkb5gTp6B2QolNba9ic90zoLaZ4c
Wael A.,Founder & CEO,Fikra Ventures,United Arab Emirates,https://www.linkedin.com/in/waelaburida,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAQDi0BB1Zgv85h6oEQKZOYO0u7a_2XpYY,NAME_SEARCH,5zj7",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder & Managing Partner, Fikra Ventures · Non-Executive Director",,United Arab Emirates,ACwAAAAQDi0BB1Zgv85h6oEQKZOYO0u7a_2XpYY
Tony Evans,Founder,ONV.ai,United Arab Emirates,https://www.linkedin.com/in/thetonyevans,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACJ_ESMB6jPjmFDOvl31flcMR-G_GXk5pzQ,NAME_SEARCH,lwmP",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"I help teams get data fit for duty, make AI pull its weight and use psychology to help people and machines work as one sharper, future-ready mind.",,"Dubai, United Arab Emirates",ACwAACJ_ESMB6jPjmFDOvl31flcMR-G_GXk5pzQ
Tina Blanc,Co-founder Heyeveryone.io,Hey Everyone,United Arab Emirates,https://www.linkedin.com/in/tina-blanc-unicorn,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAr7V5QBYTVD2pKMltm32FJ_3173kupuBM8,NAME_SEARCH,JTkf",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Tech entrepreneur,,"Dubai, United Arab Emirates",ACwAAAr7V5QBYTVD2pKMltm32FJ_3173kupuBM8
Timin Roy,Founder,LIVENserv,United Arab Emirates,https://www.linkedin.com/in/timinroy,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAxiPlYBN8Pidnb9p7jDTwXNuh0sXz9KTDU,NAME_SEARCH,k4kA",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,AI Leader | Founder – LIVENserv | B2B Lead Generation for Exhibitions and Industrial Companies | Ex-Amazon | Ex-McAfee,,"Dubai, United Arab Emirates",ACwAAAxiPlYBN8Pidnb9p7jDTwXNuh0sXz9KTDU
Syed Danial,Founder & CEO,Critonyx,United Arab Emirates,https://www.linkedin.com/in/syeddanialtechsales,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAERKO7sBdmoXlfctqiqlHYLg6FS5Ym4PHec,NAME_SEARCH,KY78",85,United Arab Emirates / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Here we build the business, the code is meant to serve. Founder @ Critonyx",,"Dubai, United Arab Emirates",ACwAAERKO7sBdmoXlfctqiqlHYLg6FS5Ym4PHec
Suresh Rowvey,Founder & CEO,Meridian Management Consultancy,United Arab Emirates,https://www.linkedin.com/in/suresh-rowvey-0212662a,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAYWxpkBKq4E0tak8ACp32brKYLjnO8oTb4,NAME_SEARCH,x2-F",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder & CEO at Meridian Management Consultancy,,United Arab Emirates,ACwAAAYWxpkBKq4E0tak8ACp32brKYLjnO8oTb4
Stanislav Semenov,Founder / CEO,Eqvilent,United Arab Emirates,https://www.linkedin.com/in/stasg7,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAA9zGKcBtgWaRW6ozR1rYNOEBLxo0a8keLY,NAME_SEARCH,a-3v",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Quant,,"Dubai, United Arab Emirates",ACwAAA9zGKcBtgWaRW6ozR1rYNOEBLxo0a8keLY
Sohail Asgher,Founder & CEO at Techhive.ai | ♾DevOps Specialist | 📈 Performance & Growth Marketing Expert,TechHive.ai,United Arab Emirates,https://www.linkedin.com/in/sohaildevops,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAoArlsBgzlhJSHCYX8j1P3VqQnt58Sh8bU,NAME_SEARCH,2whV",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder & CEO at Techhive.ai | ♾DevOps Specialist | 📈 Performance & Growth Marketing Expert,,"Dubai, United Arab Emirates",ACwAAAoArlsBgzlhJSHCYX8j1P3VqQnt58Sh8bU
Sejal Nagjee,Founder & Principal Designer | Milestone ,Milestone Dubai,United Arab Emirates,https://www.linkedin.com/in/sejalnagjee,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAATbY-sBYUqO611lhRag2-_RxJeyR3OSks0,NAME_SEARCH,mDH1",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Luxury Space Designer | Private Villas, Penthouses & Estates | Founder, Milestone",,"Dubai, United Arab Emirates",ACwAAATbY-sBYUqO611lhRag2-_RxJeyR3OSks0
Sanjiv Purushotham,Founder and CEO,Bridge Solutions,United Arab Emirates,https://www.linkedin.com/in/sanjivpurushotham,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAhA-0BXhRvGiIS6vKjcGse2G1J74sWYRo,NAME_SEARCH,SqrG",85,United Arab Emirates / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder & CEO @ Bridge Solutions | Digital-first financial services for banks & FIs | Connecting B2B supply & demand for financial services related products across GCC, MENA, & Asia",,"Dubai, United Arab Emirates",ACwAAAAhA-0BXhRvGiIS6vKjcGse2G1J74sWYRo
Sameer Saleem,Founder & CEO,JobsterX,United Arab Emirates,https://www.linkedin.com/in/connect-sameer-saleem,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABdAvowB9zZQd-Qod_P7JCTkEOd8zazWkyg,NAME_SEARCH,ef9Z",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder & CEO at JobsterX | Building AI Career-Tech Solutions | Dubai-it Mindset: Scaling Innovation from UAE to Global Markets,,"Dubai, United Arab Emirates",ACwAABdAvowB9zZQd-Qod_P7JCTkEOd8zazWkyg
Saeed Al Shamsi,Co-Founder & Board Member,Bedaya,United Arab Emirates,https://www.linkedin.com/in/saeed203x,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACetEoUBbVnac5fv9OLlF4WeIBAOAAZYEbE,NAME_SEARCH,3vjG",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Chairman of EXHub Holding | Architect of Sovereign Partnerships, Strategic Capital & Global Trade Ecosystems",,"Abu Dhabi Emirate, United Arab Emirates",ACwAACetEoUBbVnac5fv9OLlF4WeIBAOAAZYEbE
Ruchi Rathor,Founder,Raise Money,United Arab Emirates,https://www.linkedin.com/in/ruchirathor12,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAE5ufMBae5QK5qHaf3iv_2pQ9Ur0FwMHXY,NAME_SEARCH,ztvg",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"💡 FinTech Visionary | TEDx Speaker | Global Payments Strategist | Women in Tech Advocate | Driving Innovation, Inclusion & Impact",,"Dubai, United Arab Emirates",ACwAAAE5ufMBae5QK5qHaf3iv_2pQ9Ur0FwMHXY
Rooshi H Rasheed,Founder,Healing Space,United Arab Emirates,https://www.linkedin.com/in/rooshi-h-rasheed-424a8b,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAozJwB-1GTw8ou_kagirnlIEH51Xaj7q8,NAME_SEARCH,IpUo",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Clinical Psychologist & Transformation Strategist | Corporate Workshops & Leadership Resilience | India & UAE,,"Dubai, United Arab Emirates",ACwAAAAozJwB-1GTw8ou_kagirnlIEH51Xaj7q8
Roman K.,Co-Founder & CTO,WalletSuite,United Arab Emirates,https://www.linkedin.com/in/rkokhatskyi,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACOdGBoBqXaxsK6w26Pggi4Sxf6VOj3RAes,NAME_SEARCH,GGSD",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Co-Founder and CTO @WalletSuite | ex-Binance,,"Dubai, United Arab Emirates",ACwAACOdGBoBqXaxsK6w26Pggi4Sxf6VOj3RAes
Robin Joffe,CEO-Founder ,NXT Horizon,United Arab Emirates,https://www.linkedin.com/in/robinjoffe,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAMpNsBZl1byZlTmbWj8-LT7q6MjK61k2g,NAME_SEARCH,RREI",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,CEO-Founder  NXT Horizon,,"Dubai, United Arab Emirates",ACwAAAAMpNsBZl1byZlTmbWj8-LT7q6MjK61k2g
Rob Hayes,CEO & Founder,Eirnova,United Arab Emirates,https://www.linkedin.com/in/rob-hayes-ai,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAn2UB4Bl9xCZy203oMT1NJ9KpR1iAbLYcw,NAME_SEARCH,k2pS",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder & CEO, Eirnova | AI Strategy & Business Transformation Partner | Helping GCC Enterprises Move from AI Uncertainty to Scalable, Measurable Impact via Generative AI Roadmaps, Pilots & Governance",,"Dubai, United Arab Emirates",ACwAAAn2UB4Bl9xCZy203oMT1NJ9KpR1iAbLYcw
Richard McNally,Founder and Managing Director,Symmetry Group,United Arab Emirates,https://www.linkedin.com/in/richard-mcnally-14240147,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAnZJ4IBAy-0PgbymmNPRwlg8HkhpcKC72o,NAME_SEARCH,tuit",85,United Arab Emirates / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Managing Director - Symmetry Group - Developing and financing Nature based solutions,,"Dubai, United Arab Emirates",ACwAAAnZJ4IBAy-0PgbymmNPRwlg8HkhpcKC72o
Reece Warren,Founder,Nameless Ventures EMEA,United Arab Emirates,https://www.linkedin.com/in/reece-warren,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAB6sFCwBYM_CKnw2tuYU3cTfXwXQWVAxmPk,NAME_SEARCH,r3Q1",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder @ Nameless Ventures | Hiring for companies that you've not heard of. Yet.,,"Dubai, United Arab Emirates",ACwAAB6sFCwBYM_CKnw2tuYU3cTfXwXQWVAxmPk
Rami Chedid,Founder & CEO,360Basirah,United Arab Emirates,https://www.linkedin.com/in/rami-chedid-18ab5210b,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABvBl3oB4g_XlrCRcK5hsxFemz9h5EE4kbk,NAME_SEARCH,qxCA",85,United Arab Emirates / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder & CEO | 360Basirah & RDC Partners | Ex-Banking CEO | Ex-Fintech CEO | Building the Future of Credit Intelligence | 20+ Years Leadership | Harvard Business School Online,,"Dubai, United Arab Emirates",ACwAABvBl3oB4g_XlrCRcK5hsxFemz9h5EE4kbk
Rahim Haji (UXC),Founder at User Centric (UX strategy and design),User Centric,United Arab Emirates,https://www.linkedin.com/in/rahimwaljihaji,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAA6ntwBCW_1iwCkrsSZgRjK51hagrxO6xM,NAME_SEARCH,lnUK",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Digital Experience Leader | UX, CX & Service Design | Scaling Customer Centric Platforms",,"Dubai, United Arab Emirates",ACwAAAA6ntwBCW_1iwCkrsSZgRjK51hagrxO6xM
Qurat ul Ann Iqbal,Co-Founder | Professional Resume Writer | Head of Content (Content Marketer & Strategist),FRJ Digitals,United Arab Emirates,https://www.linkedin.com/in/quratulann-iqbal,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAf8PtwBmYZL5NbFCjq4Ndv9w-zz5beiwCw,NAME_SEARCH,gkwv",85,United Arab Emirates / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Executive Resume Writer for busy CXOs and Directors | ATS-Optimized CVs Positioning YOU for Success | LinkedIn Transformation Expert | Trusted by 160+ Corporate Leaders Across 4 Continents,,"Dubai, United Arab Emirates",ACwAAAf8PtwBmYZL5NbFCjq4Ndv9w-zz5beiwCw
